2019-03-18/07:16:31.963 DEBUG: sql.parser - Reduced `S1`.`ACC_ID` = `S2`.`ACC_ID`
2019-03-18/07:16:31.964 TRACE: pretty.SqlPrettyWriter - Token is 'SELECT'; result is false
2019-03-18/07:16:31.964 TRACE: pretty.SqlPrettyWriter - Token is '`S2`'; result is false
2019-03-18/07:16:31.964 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.964 TRACE: pretty.SqlPrettyWriter - Token is '`ACC_ID`'; result is false
2019-03-18/07:16:31.964 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.964 TRACE: pretty.SqlPrettyWriter - Token is ','; result is false
2019-03-18/07:16:31.964 TRACE: pretty.SqlPrettyWriter - Token is '`TAG1`'; result is false
2019-03-18/07:16:31.964 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.964 TRACE: pretty.SqlPrettyWriter - Token is ','; result is false
2019-03-18/07:16:31.964 TRACE: pretty.SqlPrettyWriter - Token is '`S1`'; result is false
2019-03-18/07:16:31.964 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.964 TRACE: pretty.SqlPrettyWriter - Token is '`ID`'; result is false
2019-03-18/07:16:31.964 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.964 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.964 TRACE: pretty.SqlPrettyWriter - Token is 'FROM'; result is false
2019-03-18/07:16:31.964 TRACE: pretty.SqlPrettyWriter - Token is '('; result is false
2019-03-18/07:16:31.965 TRACE: pretty.SqlPrettyWriter - Token is 'SELECT'; result is false
2019-03-18/07:16:31.965 TRACE: pretty.SqlPrettyWriter - Token is '`TAB1`'; result is false
2019-03-18/07:16:31.965 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.965 TRACE: pretty.SqlPrettyWriter - Token is '`ACCOUNT_ID`'; result is false
2019-03-18/07:16:31.965 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.965 TRACE: pretty.SqlPrettyWriter - Token is 'AS'; result is false
2019-03-18/07:16:31.965 TRACE: pretty.SqlPrettyWriter - Token is '`ACC_ID`'; result is false
2019-03-18/07:16:31.965 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.965 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.965 TRACE: pretty.SqlPrettyWriter - Token is ','; result is false
2019-03-18/07:16:31.965 TRACE: pretty.SqlPrettyWriter - Token is '`TAB1`'; result is false
2019-03-18/07:16:31.965 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.965 TRACE: pretty.SqlPrettyWriter - Token is '`TAG`'; result is false
2019-03-18/07:16:31.965 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.965 TRACE: pretty.SqlPrettyWriter - Token is 'AS'; result is false
2019-03-18/07:16:31.965 TRACE: pretty.SqlPrettyWriter - Token is '`TAG1`'; result is false
2019-03-18/07:16:31.965 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.966 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.966 TRACE: pretty.SqlPrettyWriter - Token is ','; result is false
2019-03-18/07:16:31.966 TRACE: pretty.SqlPrettyWriter - Token is '`TAB2`'; result is false
2019-03-18/07:16:31.966 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.966 TRACE: pretty.SqlPrettyWriter - Token is '`ID`'; result is false
2019-03-18/07:16:31.966 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.966 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.966 TRACE: pretty.SqlPrettyWriter - Token is 'FROM'; result is false
2019-03-18/07:16:31.966 TRACE: pretty.SqlPrettyWriter - Token is '`RSTORE`'; result is false
2019-03-18/07:16:31.966 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.966 TRACE: pretty.SqlPrettyWriter - Token is '`QUERY_HISTS`'; result is false
2019-03-18/07:16:31.966 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.966 TRACE: pretty.SqlPrettyWriter - Token is 'AS'; result is false
2019-03-18/07:16:31.966 TRACE: pretty.SqlPrettyWriter - Token is '`TAB1`'; result is false
2019-03-18/07:16:31.966 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.966 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.966 TRACE: pretty.SqlPrettyWriter - Token is 'INNER JOIN'; result is false
2019-03-18/07:16:31.966 TRACE: pretty.SqlPrettyWriter - Token is '`RSTORE`'; result is false
2019-03-18/07:16:31.967 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.967 TRACE: pretty.SqlPrettyWriter - Token is '`CLUSTER_NODES`'; result is false
2019-03-18/07:16:31.967 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.967 TRACE: pretty.SqlPrettyWriter - Token is 'AS'; result is false
2019-03-18/07:16:31.967 TRACE: pretty.SqlPrettyWriter - Token is '`TAB2`'; result is false
2019-03-18/07:16:31.967 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.967 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.967 TRACE: pretty.SqlPrettyWriter - Token is 'ON'; result is false
2019-03-18/07:16:31.967 TRACE: pretty.SqlPrettyWriter - Token is '`TAB1`'; result is false
2019-03-18/07:16:31.967 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.967 TRACE: pretty.SqlPrettyWriter - Token is '`ACCOUNT_ID`'; result is false
2019-03-18/07:16:31.967 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.967 TRACE: pretty.SqlPrettyWriter - Token is '='; result is false
2019-03-18/07:16:31.967 TRACE: pretty.SqlPrettyWriter - Token is '`TAB2`'; result is false
2019-03-18/07:16:31.967 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.967 TRACE: pretty.SqlPrettyWriter - Token is '`ACCOUNT_ID`'; result is false
2019-03-18/07:16:31.967 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.967 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.968 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.968 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.968 TRACE: pretty.SqlPrettyWriter - Token is 'WHERE'; result is false
2019-03-18/07:16:31.968 TRACE: pretty.SqlPrettyWriter - Token is '`TAB2`'; result is false
2019-03-18/07:16:31.968 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.968 TRACE: pretty.SqlPrettyWriter - Token is '`ACCOUNT_ID`'; result is false
2019-03-18/07:16:31.968 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.968 TRACE: pretty.SqlPrettyWriter - Token is '>'; result is false
2019-03-18/07:16:31.968 TRACE: pretty.SqlPrettyWriter - Token is '0'; result is false
2019-03-18/07:16:31.968 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.968 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.968 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.968 TRACE: pretty.SqlPrettyWriter - Token is ')'; result is false
2019-03-18/07:16:31.968 TRACE: pretty.SqlPrettyWriter - Token is 'AS'; result is false
2019-03-18/07:16:31.968 TRACE: pretty.SqlPrettyWriter - Token is '`S1`'; result is false
2019-03-18/07:16:31.968 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.968 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.968 TRACE: pretty.SqlPrettyWriter - Token is 'INNER JOIN'; result is false
2019-03-18/07:16:31.968 TRACE: pretty.SqlPrettyWriter - Token is '('; result is false
2019-03-18/07:16:31.969 TRACE: pretty.SqlPrettyWriter - Token is 'SELECT'; result is false
2019-03-18/07:16:31.969 TRACE: pretty.SqlPrettyWriter - Token is '`ID`'; result is false
2019-03-18/07:16:31.969 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.969 TRACE: pretty.SqlPrettyWriter - Token is ','; result is false
2019-03-18/07:16:31.969 TRACE: pretty.SqlPrettyWriter - Token is '`ACCOUNT_ID`'; result is false
2019-03-18/07:16:31.969 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.969 TRACE: pretty.SqlPrettyWriter - Token is 'AS'; result is false
2019-03-18/07:16:31.969 TRACE: pretty.SqlPrettyWriter - Token is '`ACC_ID`'; result is false
2019-03-18/07:16:31.969 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.969 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.969 TRACE: pretty.SqlPrettyWriter - Token is ','; result is false
2019-03-18/07:16:31.969 TRACE: pretty.SqlPrettyWriter - Token is '`CREATED_AT`'; result is false
2019-03-18/07:16:31.969 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.969 TRACE: pretty.SqlPrettyWriter - Token is ','; result is false
2019-03-18/07:16:31.969 TRACE: pretty.SqlPrettyWriter - Token is '`DELETED_AT`'; result is false
2019-03-18/07:16:31.969 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.969 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.970 TRACE: pretty.SqlPrettyWriter - Token is 'FROM'; result is false
2019-03-18/07:16:31.970 TRACE: pretty.SqlPrettyWriter - Token is '`RSTORE`'; result is false
2019-03-18/07:16:31.970 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.970 TRACE: pretty.SqlPrettyWriter - Token is '`CLUSTERS`'; result is false
2019-03-18/07:16:31.970 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.970 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.970 TRACE: pretty.SqlPrettyWriter - Token is 'WHERE'; result is false
2019-03-18/07:16:31.970 TRACE: pretty.SqlPrettyWriter - Token is '`ID`'; result is false
2019-03-18/07:16:31.970 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.970 TRACE: pretty.SqlPrettyWriter - Token is '>'; result is false
2019-03-18/07:16:31.970 TRACE: pretty.SqlPrettyWriter - Token is '100'; result is false
2019-03-18/07:16:31.970 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.970 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.970 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.970 TRACE: pretty.SqlPrettyWriter - Token is ')'; result is false
2019-03-18/07:16:31.970 TRACE: pretty.SqlPrettyWriter - Token is 'AS'; result is false
2019-03-18/07:16:31.970 TRACE: pretty.SqlPrettyWriter - Token is '`S2`'; result is false
2019-03-18/07:16:31.971 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.971 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.971 TRACE: pretty.SqlPrettyWriter - Token is 'ON'; result is false
2019-03-18/07:16:31.971 TRACE: pretty.SqlPrettyWriter - Token is '`S1`'; result is false
2019-03-18/07:16:31.971 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.971 TRACE: pretty.SqlPrettyWriter - Token is '`ACC_ID`'; result is false
2019-03-18/07:16:31.971 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.971 TRACE: pretty.SqlPrettyWriter - Token is '='; result is false
2019-03-18/07:16:31.971 TRACE: pretty.SqlPrettyWriter - Token is '`S2`'; result is false
2019-03-18/07:16:31.973 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.973 TRACE: pretty.SqlPrettyWriter - Token is '`ACC_ID`'; result is false
2019-03-18/07:16:31.974 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.974 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.974 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
